Modified Age (xdated),Modified Age (ring count)
55,55
46,44
54,54
17,17
51,50
44,44
47,46
21,20
17,17
86,84
16,15
70,68
51,49
46,43
51,51
46,46
51,50
88,79
46,44
105,102
109,99
46,44
57,57
46,45
46,46
47,47
56,54
11,13
17,17
46,44
25,25
43,44
47,46
56,54
62,56
58,51
89,79
55,54
57,58
53,52
61,59
57,57
55,53
51,48
63,56
63,53
55,52
46,43
111,89
56,54
62,59
57,57
46,45
118,106
60,58
47,47
57,57
62,58
46,44
63,56
56,54
111,89
45,45
62,61
60,60
46,43
57,49
134,136
39,38
42,42
54,53
104,106
59,60
95,83
47,46
60,56
64,62
98,94
64,64
112,99
16,17
65,60
112,94
46,46
47,42
70,70
47,45
58,54
62,59
24,23
52,50
58,58
81,74
63,62
62,61
51,50
115,109
20,20
47,47
35,35
64,58
59,56
47,47
66,63
106,90
17,17
106,94
51,51
47,45
46,46
102,101
42,39
47,47
47,47
10,10
59,52
46,46
56,55
56,54
46,43
62,62
66,66
46,45
62,60
59,55
51,50
66,63
63,59
35,35
57,56
124,115
61,51
111,99
56,52
75,74
71,69
46,42
46,46
48,45
16,15
87,82
66,64
50,51
46,46
16,14
126,116
47,46
113,112
62,62
56,56
46,46
46,45
91,87
57,50
103,104
57,50
85,74
89,89
100,87
47,46
57,50
46,42
46,35
56,55
95,94
92,85
87,84
77,67
63,63
87,89
58,58
73,66
29,29
82,81
47,46
31,30
47,47
62,59
87,81
87,82
37,38
61,60
38,39
52,50
51,51
92,92
47,46
46,45
91,90
36,37
51,51
31,32
77,73
46,46
82,78
92,87
63,63
46,39
44,44
84,77
116,105
46,46
56,53
103,103
52,49
46,43
81,78
38,37
50,50
80,79
62,60
86,80
56,52
47,42
57,55
81,81
56,56
89,79
95,92
105,102
93,96
33,31
50,48
46,46
64,63
47,44
46,46
125,102
46,45
94,90
63,59
79,76
66,61
103,92
14,13
113,110
56,55
33,33
32,31
46,45
48,47
125,113
84,83
47,46
55,53
124,123
46,46
34,30
87,83
17,16
59,60
92,87
63,57
50,50
17,17
77,73
46,45
77,77
80,80
112,103
50,47
32,30
58,57
92,89
72,69
18,18
56,57
43,43
57,52
56,53
114,95
113,111
57,57
64,64
115,99
107,88
56,54
67,69
100,100
71,65
56,52
113,100
55,56
41,41
112,101
94,92
55,48
88,84
23,23
83,77
58,50
79,76
115,102
51,49
84,83
62,62
101,103
66,64
91,86
87,87
83,77
111,102
89,89
23,21
79,70
110,103
87,86
21,21
26,25
60,57
111,102
47,46
26,27
93,87
71,66
82,76
51,52
112,95
111,102
62,62
87,84
111,100
59,52
86,80
111,98
63,60
94,84
26,26
78,72
79,74
88,83
112,103
111,103
75,78
94,88
111,77
54,51
20,21
111,95
112,102
75,69
100,96
112,105
112,91
46,41
156,129
26,26
70,65
74,75
111,102
129,122
87,72
111,99
110,94
26,24
71,64
112,95
89,85
89,86
90,79
63,63
88,79
107,102
49,49
110,96
41,37
54,53
91,89
68,79
27,27
111,97
85,84
60,59
84,87
27,25
110,100
111,94
123,109
79,71
111,99
90,91
56,54
72,74
87,81
53,53
26,26
56,52
82,79
26,25
47,47
111,95
60,59
56,54
111,99
113,113
50,47
111,97
67,69
111,91
93,94
61,63
57,56
67,64
97,97
112,83
40,37
83,74
78,77
94,90
76,74
101,98
111,97
43,40
67,63
61,55
43,42
56,53
37,36
70,64
72,68
46,44
43,42
46,46
51,45
64,63
111,91
111,101
53,49
51,47
46,44
26,26
112,91
117,92
